activity_id,user_id,activity_type,duration_min,calories_burned,distance_km,date
act-000149,user-0029,cycling,106,1006,13.44,2025-10-03 06:25:43
act-000150,user-0030,yoga,67,182,0.0,2025-08-31 19:32:47
act-000151,user-0030,yoga,105,320,0.0,2025-09-21 00:52:41
act-000152,user-0030,cycling,57,525,4.88,2025-07-30 21:17:45
act-000153,user-0030,yoga,96,324,0.0,2025-10-15 23:00:16
act-000154,user-0030,running,19,219,1.99,2025-09-20 19:56:06
act-000155,user-0030,yoga,111,373,0.0,2025-10-15 03:01:58
act-000156,user-0030,running,15,141,1.28,2025-10-07 01:09:19
act-000157,user-0031,swimming,87,1109,0.0,2025-09-30 22:43:38
act-000158,user-0031,yoga,97,262,0.0,2025-08-06 06:49:55
act-000159,user-0031,cycling,72,535,6.9,2025-08-28 11:19:25
act-000160,user-0031,running,61,618,7.56,2025-09-07 22:40:30
act-000161,user-0032,swimming,30,414,0.0,2025-10-23 13:25:33
act-000162,user-0032,cycling,36,234,3.57,2025-10-04 22:03:42
act-000163,user-0032,weight_training,70,482,0.0,2025-10-24 14:36:26
act-000164,user-0032,swimming,57,639,0.0,2025-08-02 03:44:25
act-000165,user-0032,swimming,81,1082,0.0,2025-08-05 16:48:39
act-000166,user-0032,walking,65,246,7.13,2025-09-05 04:57:12
act-000167,user-0032,yoga,34,90,0.0,2025-08-08 03:51:11
act-000168,user-0033,yoga,61,176,0.0,2025-08-02 03:18:10
act-000169,user-0033,yoga,38,115,0.0,2025-09-14 13:54:07
act-000170,user-0033,yoga,41,139,0.0,2025-08-02 15:36:08
act-000171,user-0033,cycling,87,636,10.62,2025-10-05 05:59:13
act-000172,user-0033,cycling,31,236,4.18,2025-10-11 22:17:20
act-000173,user-0034,cycling,17,108,2.13,2025-10-08 05:09:50
act-000174,user-0034,swimming,106,1259,0.0,2025-08-14 04:13:16
act-000175,user-0034,running,51,609,6.24,2025-10-17 07:23:30
act-000176,user-0034,yoga,74,184,0.0,2025-08-04 06:58:50
act-000177,user-0034,weight_training,57,358,0.0,2025-10-13 07:06:58
act-000178,user-0034,walking,101,461,9.75,2025-10-02 09:13:58
act-000179,user-0034,running,90,806,9.89,2025-09-15 23:53:48
act-000180,user-0035,cycling,15,122,1.36,2025-08-15 14:10:00
act-000181,user-0035,walking,110,430,14.64,2025-09-21 00:15:33
act-000182,user-0035,yoga,65,202,0.0,2025-07-29 21:19:55
act-000183,user-0035,running,45,531,3.93,2025-07-28 19:06:32
act-000184,user-0035,yoga,33,116,0.0,2025-08-10 02:51:42
act-000185,user-0035,yoga,19,51,0.0,2025-09-07 15:46:47
act-000186,user-0035,yoga,110,359,0.0,2025-08-28 01:09:48
act-000187,user-0036,swimming,72,755,0.0,2025-10-23 13:20:04
act-000188,user-0036,yoga,36,125,0.0,2025-08-30 04:42:53
act-000189,user-0036,running,69,563,6.15,2025-08-15 21:31:42
act-000190,user-0036,weight_training,36,187,0.0,2025-08-20 14:24:35
act-000191,user-0036,swimming,111,1125,0.0,2025-09-03 19:47:10
act-000192,user-0036,cycling,61,543,8.6,2025-08-24 20:39:50
act-000193,user-0036,yoga,109,368,0.0,2025-08-16 15:42:56
act-000194,user-0037,weight_training,39,196,0.0,2025-10-01 22:45:53
act-000195,user-0037,walking,38,148,4.75,2025-10-22 16:43:28
act-000196,user-0037,weight_training,94,660,0.0,2025-10-21 18:05:23
act-000197,user-0037,weight_training,57,296,0.0,2025-08-29 21:08:25
act-000198,user-0037,walking,21,78,2.64,2025-10-02 15:05:54
act-000199,user-0037,weight_training,66,471,0.0,2025-10-09 11:43:55
act-000200,user-0037,walking,30,118,4.37,2025-09-27 21:38:06
act-000201,user-0037,cycling,67,495,5.47,2025-10-10 22:28:16
act-000202,user-0038,cycling,50,457,5.67,2025-08-24 08:37:31
act-000203,user-0038,running,101,1053,14.48,2025-08-13 00:57:02
act-000204,user-0038,weight_training,22,141,0.0,2025-09-05 06:39:46
act-000205,user-0038,running,21,240,1.74,2025-08-09 09:28:51
act-000206,user-0038,swimming,99,1103,0.0,2025-10-04 17:11:57
act-000207,user-0039,cycling,28,237,3.22,2025-10-15 19:53:09
act-000208,user-0039,weight_training,54,345,0.0,2025-08-03 01:34:28
act-000209,user-0039,yoga,40,115,0.0,2025-09-01 21:52:50
act-000210,user-0039,running,80,700,8.01,2025-10-12 03:39:36
act-000211,user-0040,yoga,97,312,0.0,2025-10-06 04:36:05
act-000212,user-0040,running,97,778,13.61,2025-08-20 05:11:34
act-000213,user-0040,cycling,38,269,4.62,2025-10-24 08:20:15
act-000214,user-0040,weight_training,119,801,0.0,2025-09-07 04:26:56
act-000215,user-0041,yoga,120,362,0.0,2025-08-09 18:20:42
act-000216,user-0041,weight_training,63,449,0.0,2025-09-19 15:48:53
act-000217,user-0041,swimming,107,1311,0.0,2025-07-29 18:17:08
act-000218,user-0042,walking,114,474,14.79,2025-10-15 00:46:47
act-000219,user-0042,running,81,734,7.41,2025-07-31 00:38:39
act-000220,user-0042,running,112,999,12.1,2025-08-18 12:08:51
act-000221,user-0042,running,69,712,8.37,2025-08-04 00:16:55
act-000222,user-0042,cycling,74,559,11.01,2025-09-28 23:12:51
act-000223,user-0042,cycling,113,804,10.17,2025-08-16 03:29:34
act-000224,user-0042,running,113,1042,14.12,2025-10-12 03:18:13
act-000225,user-0043,weight_training,50,257,0.0,2025-09-06 21:43:29
act-000226,user-0043,walking,15,66,1.98,2025-09-29 10:05:21
act-000227,user-0043,walking,113,389,11.39,2025-09-11 01:11:36
act-000228,user-0043,cycling,86,647,8.9,2025-09-24 11:40:24
act-000229,user-0044,walking,47,188,5.4,2025-09-26 13:15:35
act-000230,user-0044,weight_training,88,604,0.0,2025-09-12 21:30:58
act-000231,user-0044,running,78,772,7.02,2025-10-05 17:13:39
act-000232,user-0045,cycling,65,439,9.6,2025-08-20 22:24:18
act-000233,user-0045,walking,19,77,1.87,2025-08-15 07:43:18
act-000234,user-0045,weight_training,55,377,0.0,2025-09-23 16:24:19
act-000235,user-0045,running,47,388,5.16,2025-10-18 13:06:21
act-000236,user-0045,running,83,971,11.36,2025-08-23 20:13:03
act-000237,user-0045,walking,99,446,11.96,2025-08-27 08:35:53
act-000238,user-0045,swimming,43,572,0.0,2025-10-17 20:55:37
act-000239,user-0045,running,27,292,2.86,2025-09-30 06:16:40
act-000240,user-0046,yoga,54,136,0.0,2025-08-04 20:29:34
act-000241,user-0046,running,101,976,13.21,2025-08-27 13:41:56
act-000242,user-0046,cycling,91,773,12.86,2025-09-03 15:09:02
act-000243,user-0046,walking,21,97,1.71,2025-09-11 16:40:56
act-000244,user-0047,walking,27,127,3.23,2025-10-19 22:12:01
act-000245,user-0047,weight_training,64,411,0.0,2025-08-13 06:52:20
act-000246,user-0047,swimming,105,1334,0.0,2025-10-14 16:19:31
act-000247,user-0048,swimming,82,1105,0.0,2025-09-15 04:29:14
act-000248,user-0048,yoga,34,102,0.0,2025-10-13 08:08:51
act-000249,user-0048,cycling,73,680,6.67,2025-09-29 08:16:17
act-000250,user-0048,cycling,108,1018,9.57,2025-08-04 23:34:36
act-000251,user-0048,walking,118,542,13.18,2025-09-30 03:15:20
act-000252,user-0048,running,75,810,10.48,2025-10-21 21:19:53
act-000253,user-0048,yoga,42,141,0.0,2025-10-09 11:03:54
act-000254,user-0049,walking,75,300,9.06,2025-10-16 04:30:59
act-000255,user-0049,weight_training,60,309,0.0,2025-09-12 02:39:19
act-000256,user-0049,swimming,17,205,0.0,2025-10-03 04:08:12
act-000257,user-0049,swimming,67,955,0.0,2025-08-25 14:09:17
act-000258,user-0049,running,47,552,4.03,2025-09-06 13:38:20
act-000259,user-0050,weight_training,78,396,0.0,2025-08-01 07:24:19
act-000260,user-0050,walking,63,292,8.85,2025-09-17 08:37:36
act-000261,user-0050,yoga,32,79,0.0,2025-10-04 19:12:24
act-000262,user-0050,weight_training,15,80,0.0,2025-08-29 20:26:24
act-000263,user-0051,walking,82,286,7.3,2025-08-07 16:05:07
act-000264,user-0051,swimming,97,964,0.0,2025-09-08 05:28:24
act-000265,user-0051,swimming,64,783,0.0,2025-09-04 16:16:44
act-000266,user-0051,yoga,15,42,0.0,2025-10-20 09:21:27
act-000267,user-0051,walking,69,320,8.55,2025-08-11 14:33:31
act-000268,user-0051,yoga,39,140,0.0,2025-10-13 14:57:54
act-000269,user-0052,swimming,96,1084,0.0,2025-10-22 09:56:41
act-000270,user-0052,swimming,114,1346,0.0,2025-08-27 01:40:14
act-000271,user-0052,weight_training,78,545,0.0,2025-08-18 12:33:29
act-000272,user-0052,running,34,316,3.02,2025-09-11 17:39:16
act-000273,user-0052,weight_training,82,525,0.0,2025-08-10 11:54:19
act-000274,user-0052,weight_training,47,311,0.0,2025-08-21 23:53:58
act-000275,user-0052,swimming,90,1167,0.0,2025-10-11 05:27:24
act-000276,user-0053,walking,82,388,6.58,2025-10-16 12:48:07
act-000277,user-0053,yoga,108,326,0.0,2025-07-28 00:52:07
act-000278,user-0053,yoga,64,172,0.0,2025-10-19 13:10:03
act-000279,user-0053,cycling,16,146,1.56,2025-08-29 12:42:52
act-000280,user-0053,yoga,101,322,0.0,2025-08-01 20:06:48
act-000281,user-0053,walking,24,104,3.21,2025-10-16 09:50:41
act-000282,user-0053,cycling,40,329,4.0,2025-09-11 23:39:39
act-000283,user-0054,cycling,81,656,7.05,2025-09-14 19:28:11
act-000284,user-0054,yoga,111,303,0.0,2025-09-02 04:26:58
act-000285,user-0054,yoga,98,327,0.0,2025-09-15 21:11:14
act-000286,user-0054,cycling,26,199,2.78,2025-09-03 08:30:53
act-000287,user-0054,cycling,57,460,8.46,2025-09-28 22:59:11
act-000288,user-0054,swimming,25,325,0.0,2025-09-24 23:42:02
act-000289,user-0054,swimming,25,308,0.0,2025-09-08 00:51:40
act-000290,user-0054,yoga,39,119,0.0,2025-10-15 20:34:29
act-000291,user-0055,walking,50,160,4.18,2025-08-19 01:25:05
act-000292,user-0055,running,73,868,10.53,2025-08-01 19:13:56
act-000293,user-0055,walking,22,77,2.58,2025-09-01 13:26:56
act-000294,user-0055,swimming,38,400,0.0,2025-10-21 14:36:14
act-000295,user-0056,cycling,24,187,2.81,2025-08-10 19:50:05
act-000296,user-0056,swimming,113,1234,0.0,2025-09-25 19:16:04
act-000297,user-0056,yoga,43,145,0.0,2025-10-18 21:29:04
act-000298,user-0056,weight_training,57,317,0.0,2025-09-14 14:59:20
act-000299,user-0056,weight_training,46,295,0.0,2025-09-20 16:20:08
act-000300,user-0057,weight_training,117,775,0.0,2025-08-16 12:05:00
act-000301,user-0057,weight_training,93,550,0.0,2025-10-21 14:23:59
act-000302,user-0057,running,37,404,3.22,2025-10-23 13:52:38
act-000303,user-0057,weight_training,117,647,0.0,2025-08-10 14:29:22
act-000304,user-0057,weight_training,108,679,0.0,2025-09-28 04:27:34
act-000305,user-0058,walking,89,287,7.79,2025-08-19 14:19:18
act-000306,user-0058,swimming,62,708,0.0,2025-08-08 11:16:19
act-000307,user-0058,swimming,25,337,0.0,2025-10-01 00:35:58
act-000308,user-0058,running,70,731,8.83,2025-10-17 18:45:33
act-000309,user-0058,swimming,33,392,0.0,2025-10-02 23:06:52
act-000310,user-0058,swimming,48,640,0.0,2025-07-27 04:37:29
act-000311,user-0059,walking,107,369,15.39,2025-09-02 07:04:42
act-000312,user-0059,cycling,69,513,10.33,2025-10-16 08:14:52
act-000313,user-0059,running,75,681,6.08,2025-09-02 15:05:15
act-000314,user-0059,cycling,101,886,13.65,2025-07-28 03:38:53
act-000315,user-0059,weight_training,39,277,0.0,2025-10-02 08:45:15
act-000316,user-0059,swimming,100,1230,0.0,2025-09-13 12:03:22
act-000317,user-0059,swimming,95,1144,0.0,2025-09-16 01:52:03
act-000318,user-0060,yoga,15,50,0.0,2025-09-23 20:07:27
act-000319,user-0060,yoga,104,373,0.0,2025-10-17 15:03:23
act-000320,user-0060,walking,25,83,3.7,2025-08-03 23:33:30
act-000321,user-0060,yoga,92,240,0.0,2025-08-26 00:29:54
act-000322,user-0060,cycling,112,993,12.04,2025-10-08 18:30:30
act-000323,user-0060,running,89,882,8.73,2025-10-03 20:16:06
act-000324,user-0061,yoga,114,408,0.0,2025-07-27 11:20:08
act-000325,user-0061,cycling,38,248,4.6,2025-10-13 04:36:29
act-000326,user-0061,cycling,111,896,15.99,2025-08-11 12:15:55
act-000327,user-0061,yoga,30,103,0.0,2025-10-18 19:56:48
act-000328,user-0062,walking,35,132,5.19,2025-09-05 02:20:30
act-000329,user-0062,swimming,105,1262,0.0,2025-07-28 01:59:17
act-000330,user-0062,running,112,1270,13.18,2025-10-06 23:20:08
act-000331,user-0063,running,102,1192,9.33,2025-09-22 18:40:40
act-000332,user-0063,cycling,101,716,12.09,2025-10-07 00:04:29
act-000333,user-0063,running,35,343,3.82,2025-09-26 13:18:15
act-000334,user-0064,walking,32,113,4.13,2025-08-31 21:21:17
act-000335,user-0064,running,18,171,2.61,2025-09-06 05:47:56
act-000336,user-0064,swimming,117,1454,0.0,2025-08-05 07:03:40
act-000337,user-0064,swimming,107,1220,0.0,2025-09-09 23:23:13
act-000338,user-0064,yoga,17,56,0.0,2025-09-16 05:12:07
act-000339,user-0064,running,96,1108,11.57,2025-07-31 01:21:45
act-000340,user-0064,yoga,25,82,0.0,2025-10-17 18:20:56
act-000341,user-0064,cycling,115,1080,10.7,2025-09-07 16:41:56
act-000342,user-0065,weight_training,82,425,0.0,2025-07-31 08:57:36
act-000343,user-0065,walking,103,419,11.18,2025-10-23 23:43:21
act-000344,user-0065,cycling,78,499,7.08,2025-08-09 20:25:55
act-000345,user-0066,swimming,105,1310,0.0,2025-08-27 09:28:57
act-000346,user-0066,swimming,55,645,0.0,2025-07-28 23:06:36
act-000347,user-0066,yoga,24,73,0.0,2025-09-25 13:18:53
act-000348,user-0066,swimming,75,1028,0.0,2025-10-15 00:16:38
act-000349,user-0066,running,61,629,7.52,2025-08-27 15:49:20
act-000350,user-0066,swimming,82,825,0.0,2025-09-09 14:26:21
act-000351,user-0067,running,118,1339,14.8,2025-09-17 19:53:39
act-000352,user-0067,walking,53,249,6.62,2025-09-15 01:15:53
act-000353,user-0067,cycling,109,785,9.37,2025-09-26 11:46:04
act-000354,user-0067,cycling,31,291,4.15,2025-09-13 17:55:09
act-000355,user-0067,swimming,60,734,0.0,2025-09-08 22:09:41
act-000356,user-0068,weight_training,101,504,0.0,2025-08-04 20:22:39
act-000357,user-0068,cycling,102,748,8.66,2025-09-29 13:09:44
act-000358,user-0068,swimming,70,964,0.0,2025-08-01 20:38:35
act-000359,user-0068,cycling,116,990,10.43,2025-08-21 00:09:37
act-000360,user-0068,cycling,40,275,5.54,2025-10-16 03:02:21
act-000361,user-0069,swimming,110,1163,0.0,2025-09-30 18:50:52
act-000362,user-0069,walking,104,404,10.63,2025-08-08 19:49:37
act-000363,user-0069,running,118,1402,15.03,2025-08-14 11:47:36
act-000364,user-0069,cycling,101,826,14.7,2025-10-06 20:15:11
act-000365,user-0069,cycling,77,521,9.88,2025-09-14 07:04:07
act-000366,user-0069,walking,78,334,9.25,2025-07-27 06:49:10
act-000367,user-0069,cycling,98,846,14.1,2025-09-06 06:52:35
act-000368,user-0070,cycling,17,151,1.55,2025-08-09 17:11:49
act-000369,user-0070,weight_training,101,491,0.0,2025-09-16 18:51:29
act-000370,user-0070,running,15,148,1.61,2025-08-26 21:52:24
act-000371,user-0070,running,87,915,11.42,2025-08-01 18:18:20
act-000372,user-0070,yoga,53,135,0.0,2025-09-11 20:42:06
act-000373,user-0071,walking,97,350,11.74,2025-10-20 20:58:51
act-000374,user-0071,yoga,20,53,0.0,2025-07-30 16:32:38
act-000375,user-0071,yoga,101,359,0.0,2025-09-26 08:15:17
act-000376,user-0072,cycling,46,368,4.12,2025-09-16 01:25:20
act-000377,user-0072,walking,94,384,9.03,2025-08-27 17:06:26
act-000378,user-0072,weight_training,82,588,0.0,2025-09-08 00:56:59
act-000379,user-0072,cycling,40,334,3.47,2025-08-20 14:06:25
act-000380,user-0072,swimming,52,632,0.0,2025-10-09 10:59:38
act-000381,user-0073,yoga,68,191,0.0,2025-09-19 23:57:22
act-000382,user-0073,cycling,76,720,10.16,2025-08-25 14:09:37
act-000383,user-0073,cycling,85,684,10.98,2025-09-27 18:29:04
act-000384,user-0073,yoga,39,108,0.0,2025-10-20 17:54:40
act-000385,user-0073,cycling,77,650,7.96,2025-08-06 12:44:43
act-000386,user-0073,weight_training,113,638,0.0,2025-09-19 02:03:48
act-000387,user-0073,walking,33,127,4.07,2025-09-25 08:29:31
act-000388,user-0074,swimming,45,527,0.0,2025-10-09 14:47:32
act-000389,user-0074,weight_training,111,687,0.0,2025-10-12 10:43:28
act-000390,user-0074,walking,62,205,5.56,2025-10-11 09:34:18
act-000391,user-0074,swimming,66,846,0.0,2025-08-24 08:24:14
act-000392,user-0074,running,77,625,10.5,2025-07-27 11:21:58
act-000393,user-0074,walking,17,58,1.61,2025-09-25 17:26:20
act-000394,user-0074,running,66,664,9.78,2025-09-12 17:41:05
act-000395,user-0074,cycling,50,359,5.58,2025-09-28 13:09:13
act-000396,user-0075,walking,81,329,7.17,2025-08-27 00:43:54
act-000397,user-0075,yoga,37,129,0.0,2025-08-07 16:10:46
act-000398,user-0075,swimming,70,922,0.0,2025-10-06 22:28:07
act-000399,user-0075,running,105,1072,14.67,2025-07-26 23:09:29
act-000400,user-0075,yoga,75,250,0.0,2025-10-04 15:36:54
